family,code,name,name_pt_br,source_token,raw_field,sets_observados,rows_a,scope,origem,status
# VOCABULARIO CANONICO DO EIXO EDITION CONTEXT — EDITORIAL-VOCABULARY-02.
# Corpus: as 1.085 rows classificadas EDITION_CONTEXT na particao canonica.
# 115 traits · 117 mappings (2 tokens de B reaproveitam trait de A) · 156 profiles.
ARTWORK_MARK,ARTWORK_MFB_BLUE_BORDER,My First Battle — Blue Border,My First Battle — Borda Azul,BLUE-BORDER,subtype,MFB,8,SOURCE_SET_SCOPED,A,APPROVED
ARTWORK_MARK,ARTWORK_MFB_POKE_BALL,My First Battle — Poké Ball Mark,My First Battle — Marca Poké Ball,POKEBALL,stamp,MFB,8,SOURCE_SET_SCOPED,A,APPROVED
ARTWORK_MARK,ARTWORK_SET_LOGO,Set Logo Stamp,Selo com Logo da Coleção,SET-LOGO,stamp,"DP1,SWSH9",5,SOURCE_SET_SCOPED,A,APPROVED
CAMPAIGN,CAMPAIGN_10TH_ANNIVERSARY,10th Anniversary,10º Aniversário,10TH-ANNIVERSARY,stamp,"EX8,NP",2,GLOBAL,A,APPROVED
CAMPAIGN,CAMPAIGN_25TH_ANNIVERSARY,25th Anniversary Celebration,Celebração de 25 Anos,25TH-CELEBRATION,stamp,2021SWSH,50,GLOBAL,A,APPROVED
CAMPAIGN,CAMPAIGN_COUNTDOWN_CALENDAR,Countdown Calendar,Calendário de Contagem Regressiva,COUNTDOWN-CALENDAR,stamp,"DP1,DP2,DP3,DP4,DP5,DPP",24,GLOBAL,A,APPROVED
CAMPAIGN,CAMPAIGN_DESTINY_DEOXYS,Destiny Deoxys,Destino Deoxys,DESTINY-DEOXYS,stamp,EX8,1,GLOBAL,A,APPROVED
CAMPAIGN,CAMPAIGN_FIRST_MOVIE,First Movie,Primeiro Filme,1ST-MOVIE,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CAMPAIGN,CAMPAIGN_FIRST_MOVIE_INVERTED,First Movie — Inverted,Primeiro Filme — Invertido,1ST-MOVIE-INVERTED,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CAMPAIGN,CAMPAIGN_HORIZONS,Horizons,Horizontes,HORIZONS,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CAMPAIGN,CAMPAIGN_PLATINUM,Platinum Series Promotion,Promoção da Série Platinum,PLATINUM,stamp,"DP4,DP5,DP6,DP7",12,SOURCE_SET_SCOPED,A,APPROVED
CAMPAIGN,CAMPAIGN_POKEMON_4EVER,Pokémon 4Ever,Pokémon 4Ever,POKEMON-4-EVER,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CAMPAIGN,CAMPAIGN_POKEMON_DAY_30TH,Pokémon Day 30th,30º Dia Pokémon,30TH-POKEDAY,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CAMPAIGN,CAMPAIGN_POKEMON_TOGETHER,Pokémon Together,Pokémon Together,POKEMON-TOGETHER,stamp,(somente legado B),0,GLOBAL,B,APPROVED
